sec,nsec,x,y,yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,vx_real,vy_real,vx_now,vy_now,vx_cmd,vy_cmd,vx_nav,vy_nav,velocity_violation,curvature,dw_vx_max,dw_vx_min,dw_vy_max,dw_vy_min,dw_w_max,dw_w_min,v_reg,lookahead_dist,lookahead_yaw,is_accel
207,500000000,1.712347,1.308676,1.173414,0.222484,0.143461,0.222371,0.130818,0.222097,0.122291,0.222097,0.122291,0.219814,0.034364,0.220000,0.032385,0.220000,0.030445,0.220000,0.030445,0,0.593050,0.220000,0.212667,0.039718,0.025052,0.150818,0.110818,0.311127,0.330000,0.129710,1
207,520000000,1.713424,1.312991,1.176233,0.222356,0.140965,0.222097,0.122291,0.221967,0.119633,0.221967,0.119633,0.219822,0.033473,0.220000,0.030445,0.220000,0.029483,0.220000,0.029483,0,0.574317,0.220000,0.212667,0.037778,0.023111,0.142291,0.102291,0.311127,0.330000,0.126890,1
207,560000000,1.715592,1.321608,1.181664,0.221974,0.132289,0.221967,0.119633,0.221728,0.111021,0.221728,0.111021,0.219774,0.031174,0.220000,0.029483,0.220000,0.027628,0.220000,0.027628,0,0.538187,0.220000,0.212667,0.036816,0.022150,0.139633,0.099633,0.311127,0.330000,0.117756,1
207,580000000,1.716698,1.325900,1.184207,0.221643,0.127155,0.221728,0.111021,0.221622,0.108623,0.221622,0.108623,0.219607,0.029967,0.220000,0.027628,0.220000,0.026768,0.220000,0.026768,0,0.521429,0.220000,0.212667,0.034962,0.020295,0.131021,0.091021,0.311127,0.330000,0.115212,1
207,620000000,1.718920,1.334479,1.189080,0.221655,0.120456,0.221622,0.108623,0.221429,0.100435,0.221429,0.100435,0.219815,0.028500,0.220000,0.026768,0.220000,0.025112,0.220000,0.025112,0,0.489173,0.220000,0.212667,0.034101,0.019435,0.128623,0.088623,0.311127,0.330000,0.106528,1
207,640000000,1.720033,1.338769,1.191442,0.221614,0.118111,0.221429,0.100435,0.221338,0.098208,0.221338,0.098208,0.219841,0.027979,0.220000,0.025112,0.220000,0.024298,0.220000,0.024298,0,0.473318,0.220000,0.212667,0.032446,0.017779,0.120435,0.080435,0.311127,0.330000,0.104166,1
207,680000000,1.722302,1.347329,1.195855,0.221383,0.109893,0.221338,0.098208,0.221178,0.090437,0.221178,0.090437,0.219849,0.026014,0.220000,0.024298,0.220000,0.022798,0.220000,0.022798,0,0.444090,0.220000,0.212667,0.031632,0.016965,0.118208,0.078208,0.311127,0.330000,0.095923,1
207,700000000,1.723436,1.351607,1.198013,0.221312,0.107929,0.221178,0.090437,0.221103,0.088401,0.221103,0.088401,0.219856,0.025338,0.220000,0.022798,0.220000,0.022053,0.220000,0.022053,0,0.429580,0.220000,0.212667,0.030131,0.015464,0.110437,0.070437,0.311127,0.330000,0.093764,1
207,740000000,1.725712,1.360158,1.202164,0.221126,0.100681,0.221103,0.088401,0.220963,0.080634,0.220963,0.080634,0.219860,0.023625,0.220000,0.022053,0.220000,0.020609,0.220000,0.020609,0,0.401454,0.220000,0.212667,0.029386,0.014720,0.108401,0.068401,0.311127,0.330000,0.085525,1
207,780000000,1.728017,1.368694,1.206016,0.221019,0.094967,0.220963,0.080634,0.220842,0.077003,0.220842,0.077003,0.219875,0.022463,0.220000,0.020609,0.220000,0.019269,0.220000,0.019269,0,0.375359,0.220000,0.212667,0.027942,0.013276,0.100634,0.060634,0.311127,0.330000,0.081674,1
207,800000000,1.729180,1.372957,1.207811,0.220921,0.089733,0.220842,0.077003,0.220788,0.071193,0.220788,0.071193,0.219873,0.021493,0.220000,0.019269,0.220000,0.018634,0.220000,0.018634,0,0.362975,0.220000,0.212667,0.026603,0.011936,0.097003,0.057003,0.311127,0.330000,0.075511,1
207,840000000,1.731518,1.381475,1.211220,0.220748,0.081434,0.220788,0.071193,0.220689,0.063570,0.220689,0.063570,0.219865,0.019722,0.220000,0.018634,0.220000,0.017429,0.220000,0.017429,0,0.339511,0.220000,0.212667,0.025967,0.011300,0.091193,0.051193,0.311127,0.330000,0.067426,1
207,860000000,1.732712,1.385711,1.212713,0.220068,0.074655,0.220689,0.063570,0.220648,0.062163,0.220648,0.062163,0.219292,0.018469,0.220000,0.017429,0.220000,0.016903,0.220000,0.016903,0,0.329263,0.220000,0.212667,0.024762,0.010096,0.083570,0.043570,0.311127,0.330000,0.065933,1
207,900000000,1.735130,1.394159,1.215363,0.219571,0.063641,0.220648,0.062163,0.220580,0.054940,0.220580,0.054940,0.218940,0.016622,0.220000,0.016903,0.220000,0.015987,0.220000,0.015987,0,0.311422,0.220000,0.212667,0.024236,0.009570,0.082163,0.042163,0.311127,0.330000,0.058272,1
