sec,nsec,x,y,yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,vx_real,vy_real,vx_now,vy_now,vx_cmd,vy_cmd,vx_nav,vy_nav,velocity_violation,curvature,dw_vx_max,dw_vx_min,dw_vy_max,dw_vy_min,dw_w_max,dw_w_min,v_reg,lookahead_dist,lookahead_yaw,is_accel
39,580000000,0.992074,0.805378,1.528166,0.219940,0.438194,0.220115,0.396070,0.220191,0.376070,0.220191,0.376070,0.219933,-0.001797,0.220000,-0.007129,0.220000,-0.009172,0.220000,-0.009172,0,-0.536009,0.220000,0.212667,0.000205,-0.014462,0.416070,0.376070,0.311127,0.110000,0.042630,1
39,620000000,0.992572,0.814165,1.545184,0.220093,0.414817,0.220191,0.376070,0.220387,0.356070,0.220387,0.356070,0.219946,-0.008056,0.220000,-0.009172,0.220000,-0.013054,0.220000,-0.013054,0,-0.762851,0.220000,0.212667,-0.001839,-0.016506,0.396070,0.356070,0.311127,0.110000,0.025613,1
39,640000000,0.992830,0.818560,1.553437,0.220121,0.412695,0.220387,0.356070,0.220503,0.336070,0.220503,0.336070,0.219965,-0.008303,0.220000,-0.013054,0.220000,-0.014887,0.220000,-0.014887,0,-0.869958,0.220000,0.212667,-0.005721,-0.020387,0.376070,0.336070,0.311127,0.110000,0.017359,1
39,680000000,0.993367,0.827353,1.569129,0.220265,0.386764,0.220503,0.336070,0.220755,0.316070,0.220755,0.316070,0.219925,-0.012241,0.220000,-0.014887,0.220000,-0.018242,0.220000,-0.018242,0,-1.066056,0.220000,0.212667,-0.007553,-0.022220,0.356070,0.316070,0.311127,0.110000,0.001668,1
39,700000000,0.993622,0.831752,1.576589,0.220308,0.373008,0.220755,0.316070,0.220893,0.296070,0.220893,0.296070,0.219906,-0.013301,0.220000,-0.018242,0.220000,-0.019838,0.220000,-0.019838,0,-1.159291,0.220000,0.212667,-0.010909,-0.025576,0.336070,0.296070,0.311127,0.110000,-0.005793,1
39,740000000,0.994091,0.840554,1.590884,0.220390,0.355457,0.220893,0.296070,0.221194,0.276070,0.221194,0.276070,0.219882,-0.014948,0.220000,-0.019838,0.220000,-0.022950,0.220000,-0.022950,0,-1.341188,0.220000,0.212667,-0.012504,-0.027171,0.316070,0.276070,0.311127,0.110000,-0.020088,1
39,780000000,0.994618,0.849373,1.604297,0.220856,0.334474,0.221194,0.276070,0.221487,0.256070,0.221487,0.256070,0.220015,-0.019260,0.220000,-0.022950,0.220000,-0.025622,0.220000,-0.025622,0,-1.497295,0.220000,0.212667,-0.015617,-0.030284,0.296070,0.256070,0.311127,0.110000,-0.033501,1
39,800000000,0.994899,0.853787,1.610510,0.221147,0.310660,0.221487,0.256070,0.221621,0.236070,0.221621,0.236070,0.220030,-0.022191,0.220000,-0.025622,0.220000,-0.026755,0.220000,-0.026755,0,-1.563514,0.220000,0.212667,-0.018288,-0.032955,0.276070,0.236070,0.311127,0.110000,-0.039714,1
39,840000000,0.995432,0.862622,1.622585,0.221405,0.294668,0.221621,0.236070,0.221903,0.216070,0.221903,0.216070,0.220034,-0.024599,0.220000,-0.026755,0.220000,-0.028995,0.220000,-0.028995,0,-1.694449,0.220000,0.212667,-0.019421,-0.034088,0.256070,0.216070,0.311127,0.110000,-0.051789,1
39,860000000,0.995711,0.867045,1.628276,0.221584,0.284536,0.221903,0.216070,0.222032,0.196070,0.222032,0.196070,0.220042,-0.026094,0.220000,-0.028995,0.220000,-0.029970,0.220000,-0.029970,0,-1.751419,0.220000,0.212667,-0.021662,-0.036329,0.236070,0.196070,0.311127,0.110000,-0.057480,1
