sec,nsec,x,y,yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,vx_real,vy_real,vx_now,vy_now,vx_cmd,vy_cmd,vx_nav,vy_nav,velocity_violation,curvature,dw_vx_max,dw_vx_min,dw_vy_max,dw_vy_min,dw_w_max,dw_w_min,v_reg,lookahead_dist,lookahead_yaw,is_accel
25,220000000,0.121071,0.269112,0.633587,0.254702,0.265778,0.269079,0.448037,0.267159,0.435876,0.267159,0.435876,0.215515,0.135744,0.220000,0.154931,0.220000,0.151571,0.220000,0.151571,0,2.578844,0.220000,0.195000,0.179931,0.129931,0.473037,0.423037,0.311127,0.440000,0.717870,1
25,260000000,0.124762,0.278653,0.644488,0.256118,0.274755,0.267159,0.435876,0.265808,0.427551,0.265808,0.427551,0.216650,0.136599,0.220000,0.151571,0.220000,0.149178,0.220000,0.149178,0,2.551020,0.220000,0.195000,0.176571,0.126571,0.460876,0.410876,0.311127,0.440000,0.707738,1
25,300000000,0.128415,0.288223,0.655510,0.255878,0.274550,0.265808,0.427551,0.264450,0.418742,0.264450,0.418742,0.217788,0.134321,0.220000,0.149178,0.220000,0.146744,0.220000,0.146744,0,2.522280,0.220000,0.195000,0.174178,0.124178,0.452551,0.402551,0.311127,0.440000,0.696716,1
25,340000000,0.132037,0.297796,0.666559,0.255948,0.276906,0.264450,0.418742,0.263106,0.410493,0.263106,0.410493,0.218715,0.132941,0.220000,0.146744,0.220000,0.144307,0.220000,0.144307,0,2.493076,0.220000,0.195000,0.171744,0.121744,0.443742,0.393742,0.311127,0.440000,0.686480,1
25,380000000,0.135600,0.307400,0.677725,0.255852,0.278271,0.263106,0.410493,0.261748,0.402263,0.261748,0.402263,0.219387,0.131643,0.220000,0.144307,0.220000,0.141817,0.220000,0.141817,0,2.462766,0.220000,0.195000,0.169307,0.119307,0.435493,0.385493,0.311127,0.440000,0.676205,1
25,440000000,0.140840,0.321830,0.694595,0.256044,0.283328,0.261748,0.402263,0.259714,0.389605,0.259714,0.389605,0.220226,0.130610,0.220000,0.141817,0.220000,0.138027,0.220000,0.138027,0,2.415711,0.220000,0.195000,0.166817,0.116817,0.427263,0.377263,0.311127,0.440000,0.660058,1
25,480000000,0.144261,0.331460,0.705908,0.255634,0.284138,0.259714,0.389605,0.258362,0.381300,0.258362,0.381300,0.220663,0.129060,0.220000,0.138027,0.220000,0.135466,0.220000,0.135466,0,2.383294,0.220000,0.195000,0.163027,0.113027,0.414605,0.364605,0.311127,0.440000,0.649368,1
25,520000000,0.147631,0.341079,0.717197,0.254514,0.281305,0.258362,0.381300,0.257031,0.373177,0.257031,0.373177,0.220962,0.126306,0.220000,0.135466,0.220000,0.132909,0.220000,0.132909,0,2.350429,0.220000,0.195000,0.160466,0.110466,0.406300,0.356300,0.311127,0.440000,0.638826,1
25,580000000,0.152563,0.355499,0.734180,0.254052,0.284168,0.257031,0.373177,0.255049,0.360834,0.255049,0.360834,0.221216,0.124923,0.220000,0.132909,0.220000,0.129036,0.220000,0.129036,0,2.299655,0.220000,0.195000,0.157909,0.107909,0.398177,0.348177,0.311127,0.440000,0.622494,1
25,620000000,0.155778,0.365109,0.745459,0.253367,0.282361,0.255049,0.360834,0.253754,0.352769,0.253754,0.352769,0.221419,0.123161,0.220000,0.129036,0.220000,0.126456,0.220000,0.126456,0,2.265180,0.220000,0.195000,0.154036,0.104036,0.385834,0.335834,0.311127,0.440000,0.611688,1
25,660000000,0.158961,0.374679,0.756615,0.251971,0.277854,0.253754,0.352769,0.252502,0.344977,0.252502,0.344977,0.221496,0.120119,0.220000,0.126456,0.220000,0.123924,0.220000,0.123924,0,2.230835,0.220000,0.195000,0.151456,0.101456,0.377769,0.327769,0.311127,0.440000,0.601145,1
25,700000000,0.162089,0.384233,0.767685,0.251106,0.275975,0.252502,0.344977,0.251278,0.336984,0.251278,0.336984,0.221549,0.118195,0.220000,0.123924,0.220000,0.121411,0.220000,0.121411,0,2.196248,0.220000,0.195000,0.148924,0.098924,0.369977,0.319977,0.311127,0.440000,0.590075,1
25,740000000,0.165162,0.393771,0.778682,0.250219,0.273837,0.251278,0.336984,0.250082,0.329448,0.250082,0.329448,0.221544,0.116311,0.220000,0.121411,0.220000,0.118915,0.220000,0.118915,0,2.161391,0.220000,0.195000,0.146411,0.096411,0.361984,0.311984,0.311127,0.440000,0.579640,1
25,800000000,0.169671,0.408044,0.795013,0.249134,0.271544,0.250082,0.329448,0.248339,0.318141,0.248339,0.318141,0.221528,0.113989,0.220000,0.118915,0.220000,0.115205,0.220000,0.115205,0,2.108652,0.220000,0.195000,0.143915,0.093915,0.354448,0.304448,0.311127,0.440000,0.563674,1
25,840000000,0.172616,0.417531,0.805777,0.248310,0.269711,0.248339,0.318141,0.247215,0.310921,0.247215,0.310921,0.221502,0.112226,0.220000,0.115205,0.220000,0.112763,0.220000,0.112763,0,2.073328,0.220000,0.195000,0.140205,0.090205,0.343141,0.293141,0.311127,0.440000,0.553385,1
25,880000000,0.175544,0.426965,0.816310,0.246937,0.263875,0.247215,0.310921,0.246149,0.303937,0.246149,0.303937,0.221439,0.109283,0.220000,0.112763,0.220000,0.110406,0.220000,0.110406,0,2.038780,0.220000,0.195000,0.137763,0.087763,0.335921,0.285921,0.311127,0.440000,0.543298,1
25,920000000,0.178431,0.436373,0.826714,0.246047,0.260500,0.246149,0.303937,0.245116,0.297027,0.245116,0.297027,0.221386,0.107365,0.220000,0.110406,0.220000,0.108083,0.220000,0.108083,0,2.004300,0.220000,0.195000,0.135406,0.085406,0.328937,0.278937,0.311127,0.440000,0.533183,1
25,960000000,0.181274,0.445757,0.836997,0.245139,0.257142,0.245116,0.297027,0.244114,0.290107,0.244114,0.290107,0.221331,0.105384,0.220000,0.108083,0.220000,0.105791,0.220000,0.105791,0,1.969854,0.220000,0.195000,0.133083,0.083083,0.322027,0.272027,0.311127,0.440000,0.522900,1
26,20000000,0.185446,0.459806,0.852223,0.243845,0.252251,0.244114,0.290107,0.242660,0.280355,0.242660,0.280355,0.221232,0.102550,0.220000,0.105791,0.220000,0.102391,0.220000,0.102391,0,1.917968,0.220000,0.195000,0.130791,0.080791,0.315107,0.265107,0.311127,0.440000,0.508349,1
26,60000000,0.188180,0.469140,0.862199,0.242963,0.248985,0.242660,0.280355,0.241732,0.273802,0.241732,0.273802,0.221170,0.100571,0.220000,0.102391,0.220000,0.100172,0.220000,0.100172,0,1.883600,0.220000,0.195000,0.127391,0.077391,0.305355,0.255355,0.311127,0.440000,0.498374,1
26,100000000,0.190897,0.478433,0.871962,0.242050,0.244245,0.241732,0.273802,0.240849,0.267574,0.240849,0.267574,0.221104,0.098496,0.220000,0.100172,0.220000,0.098021,0.220000,0.098021,0,1.849924,0.220000,0.195000,0.125172,0.075172,0.298802,0.248802,0.311127,0.440000,0.488824,1
26,140000000,0.193553,0.487688,0.881741,0.240914,0.242428,0.240849,0.267574,0.239974,0.261396,0.239974,0.261396,0.220664,0.096681,0.220000,0.098021,0.220000,0.095852,0.220000,0.095852,0,1.815577,0.220000,0.195000,0.123021,0.073021,0.292574,0.242574,0.311127,0.440000,0.479278,1
26,200000000,0.197502,0.501541,0.895974,0.239691,0.234573,0.239974,0.261396,0.238742,0.252449,0.238742,0.252449,0.220800,0.093268,0.220000,0.095852,0.220000,0.092725,0.220000,0.092725,0,1.765407,0.220000,0.195000,0.120852,0.070852,0.286396,0.236396,0.311127,0.440000,0.465260,1
26,240000000,0.200096,0.510758,0.905246,0.239204,0.231287,0.238742,0.252449,0.237961,0.246679,0.237961,0.246679,0.220879,0.091821,0.220000,0.092725,0.220000,0.090695,0.220000,0.090695,0,1.732421,0.220000,0.195000,0.117725,0.067725,0.277449,0.227449,0.311127,0.440000,0.456120,1
26,280000000,0.202695,0.519925,0.914261,0.238002,0.224387,0.237961,0.246679,0.237228,0.241059,0.237228,0.241059,0.220798,0.088843,0.220000,0.090695,0.220000,0.088753,0.220000,0.088753,0,1.700577,0.220000,0.195000,0.115695,0.065695,0.271679,0.221679,0.311127,0.440000,0.447106,1
26,320000000,0.205258,0.529078,0.923147,0.237558,0.221976,0.237228,0.241059,0.236518,0.235630,0.236518,0.235630,0.220760,0.087744,0.220000,0.088753,0.220000,0.086838,0.220000,0.086838,0,1.668871,0.220000,0.195000,0.113753,0.063753,0.266059,0.216059,0.311127,0.440000,0.438348,1
26,380000000,0.209049,0.542771,0.936195,0.236450,0.215690,0.236518,0.235630,0.235503,0.227691,0.235503,0.227691,0.220675,0.084920,0.220000,0.086838,0.220000,0.084033,0.220000,0.084033,0,1.621921,0.220000,0.195000,0.111838,0.061838,0.260630,0.210630,0.311127,0.440000,0.425404,1
26,420000000,0.211545,0.551874,0.944716,0.235656,0.211689,0.235503,0.227691,0.234857,0.222545,0.234857,0.222545,0.220593,0.082900,0.220000,0.084033,0.220000,0.082206,0.220000,0.082206,0,1.591019,0.220000,0.195000,0.109033,0.059033,0.252691,0.202691,0.311127,0.440000,0.416933,1
26,460000000,0.214028,0.560950,0.953043,0.235153,0.207734,0.234857,0.222545,0.234243,0.217545,0.234243,0.217545,0.220598,0.081448,0.220000,0.082206,0.220000,0.080434,0.220000,0.080434,0,1.560806,0.220000,0.195000,0.107206,0.057206,0.247545,0.197545,0.311127,0.440000,0.408635,1
26,520000000,0.217705,0.574536,0.965279,0.234330,0.202511,0.234243,0.217545,0.233362,0.210234,0.233362,0.210234,0.220611,0.079001,0.220000,0.080434,0.220000,0.077832,0.220000,0.077832,0,1.516028,0.220000,0.195000,0.105434,0.055434,0.242545,0.192545,0.311127,0.440000,0.396393,1
26,560000000,0.220127,0.583574,0.973278,0.233756,0.199250,0.233362,0.210234,0.232801,0.205497,0.232801,0.205497,0.220629,0.077233,0.220000,0.077832,0.220000,0.076135,0.220000,0.076135,0,1.486531,0.220000,0.195000,0.102832,0.052832,0.235234,0.185234,0.311127,0.440000,0.388394,1
26,600000000,0.222543,0.592584,0.981068,0.233118,0.194337,0.232801,0.205497,0.232270,0.200897,0.232270,0.200897,0.220507,0.075638,0.220000,0.076135,0.220000,0.074495,0.220000,0.074495,0,1.457851,0.220000,0.195000,0.101135,0.051135,0.230497,0.180497,0.311127,0.440000,0.380568,1
26,640000000,0.224939,0.601576,0.988714,0.232626,0.190885,0.232270,0.200897,0.231761,0.196393,0.231761,0.196393,0.220476,0.074196,0.220000,0.074495,0.220000,0.072890,0.220000,0.072890,0,1.429571,0.220000,0.195000,0.099495,0.049495,0.225897,0.175897,0.311127,0.440000,0.372854,1
26,700000000,0.228503,0.615033,0.999896,0.231685,0.184020,0.231761,0.196393,0.231036,0.189847,0.231036,0.189847,0.220390,0.071458,0.220000,0.072890,0.220000,0.070551,0.220000,0.070551,0,1.388047,0.220000,0.195000,0.097890,0.047890,0.221393,0.171393,0.311127,0.440000,0.361557,1
26,740000000,0.230865,0.623979,1.007161,0.230994,0.179299,0.231036,0.189847,0.230579,0.185599,0.230579,0.185599,0.220341,0.069340,0.220000,0.070551,0.220000,0.069041,0.220000,0.069041,0,1.361012,0.220000,0.195000,0.095551,0.045551,0.214847,0.164847,0.311127,0.440000,0.354167,1
26,780000000,0.233222,0.632903,1.014244,0.230523,0.175558,0.230579,0.185599,0.230146,0.181546,0.230146,0.181546,0.220306,0.067868,0.220000,0.069041,0.220000,0.067579,0.220000,0.067579,0,1.334718,0.220000,0.195000,0.094041,0.044041,0.210599,0.160599,0.311127,0.440000,0.347085,1
