sec,nsec,x,y,yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1768313261,898803302,0.639147,0.518427,1.622788,0.261344,0.390523,0.26,0.37664,0.26,0.364692,0.26,0.364692,0,,,,,,,,,,1.402661,0.26,0.251333,0.393306,0.359973,0.26
1768313261,932512253,0.639457,0.523681,1.630586,0.261458,0.389683,0.26,0.364692,0.26,0.36451,0.26,0.36451,0,,,,,,,,,,1.401961,0.26,0.251333,0.381358,0.348025,0.26
1768313261,965465534,0.639926,0.534154,1.646095,0.260121,0.386747,0.26,0.36451,0.26,0.364157,0.26,0.364157,0,,,,,,,,,,1.400604,0.26,0.251333,0.381177,0.347843,0.26
1768313261,998781843,0.640082,0.539388,1.653817,0.260245,0.385832,0.26,0.364157,0.26,0.36399,0.26,0.36399,0,,,,,,,,,,1.39996,0.26,0.251333,0.380824,0.34749,0.26
1768313262,32142415,0.640237,0.54986,1.669202,0.260481,0.383892,0.26,0.36399,0.26,0.363678,0.26,0.363678,0,,,,,,,,,,1.398763,0.26,0.251333,0.380656,0.347323,0.26
1768313262,66044264,0.640236,0.555098,1.676864,0.260549,0.38284,0.26,0.363678,0.26,0.363535,0.26,0.363535,0,,,,,,,,,,1.398211,0.26,0.251333,0.380345,0.347012,0.26
1768313262,98823518,0.640079,0.565576,1.692124,0.260793,0.380702,0.26,0.363535,0.26,0.351645,0.26,0.351645,0,,,,,,,,,,1.352481,0.26,0.251333,0.380201,0.346868,0.26
1768313262,132487608,0.639923,0.570816,1.699722,0.260943,0.379598,0.26,0.351645,0.26,0.351453,0.26,0.351453,0,,,,,,,,,,1.351744,0.26,0.251333,0.368312,0.334978,0.26
1768313262,165596283,0.639477,0.581265,1.714718,0.260158,0.37262,0.26,0.351453,0.26,0.351125,0.26,0.351125,0,,,,,,,,,,1.350481,0.26,0.251333,0.36812,0.334787,0.26
1768313262,198824061,0.639181,0.586483,1.722153,0.260291,0.371433,0.26,0.351125,0.26,0.350982,0.26,0.350982,0,,,,,,,,,,1.34993,0.26,0.251333,0.367792,0.334458,0.26
1768313262,232190372,0.638834,0.5917,1.729564,0.260454,0.370227,0.26,0.350982,0.26,0.350848,0.26,0.350848,0,,,,,,,,,,1.349416,0.26,0.251333,0.367648,0.334315,0.26
1768313262,265551588,0.63799,0.60213,1.74431,0.26073,0.367687,0.26,0.350848,0.26,0.350611,0.26,0.350611,0,,,,,,,,,,1.348504,0.26,0.251333,0.367515,0.334181,0.26
1768313262,299063039,0.637494,0.607342,1.751644,0.260905,0.366388,0.26,0.350611,0.26,0.339008,0.26,0.339008,0,,,,,,,,,,1.303878,0.26,0.251333,0.367278,0.333944,0.26
1768313262,332342098,0.636358,0.617758,1.766233,0.26125,0.363697,0.26,0.339008,0.26,0.338679,0.26,0.338679,0,,,,,,,,,,1.302613,0.26,0.251333,0.355675,0.322342,0.26
1768313262,365529113,0.635726,0.622941,1.773452,0.260072,0.359839,0.26,0.338679,0.26,0.338533,0.26,0.338533,0,,,,,,,,,,1.302049,0.26,0.251333,0.355346,0.322013,0.26
1768313262,399220380,0.634326,0.633288,1.787775,0.260407,0.357005,0.26,0.338533,0.26,0.338278,0.26,0.338278,0,,,,,,,,,,1.301069,0.26,0.251333,0.355199,0.321866,0.26
1768313262,432310938,0.633555,0.638456,1.794894,0.260603,0.355559,0.26,0.338278,0.26,0.338168,0.26,0.338168,0,,,,,,,,,,1.300644,0.26,0.251333,0.354945,0.321611,0.26
1768313262,465604778,0.631878,0.64878,1.809042,0.260949,0.352569,0.26,0.338168,0.26,0.326593,0.26,0.326593,0,,,,,,,,,,1.256128,0.26,0.251333,0.354834,0.321501,0.26
1768313262,499008684,0.630972,0.653935,1.81607,0.261154,0.351054,0.26,0.326593,0.26,0.32644,0.26,0.32644,0,,,,,,,,,,1.255537,0.26,0.251333,0.34326,0.309927,0.26
1768313262,532355832,0.629028,0.664231,1.830035,0.261557,0.347952,0.26,0.32644,0.26,0.326168,0.26,0.326168,0,,,,,,,,,,1.254492,0.26,0.251333,0.343106,0.309773,0.26
1768313262,565509539,0.627996,0.669355,1.836962,0.260209,0.345656,0.26,0.326168,0.26,0.326045,0.26,0.326045,0,,,,,,,,,,1.25402,0.26,0.251333,0.342835,0.309501,0.26
1768313262,598952042,0.625812,0.679562,1.850708,0.260581,0.342429,0.26,0.326045,0.26,0.314695,0.26,0.314695,0,,,,,,,,,,1.210365,0.26,0.251333,0.342712,0.309379,0.26
1768313262,632136924,0.624657,0.684657,1.857532,0.2608,0.340801,0.26,0.314695,0.26,0.314528,0.26,0.314528,0,,,,,,,,,,1.209723,0.26,0.251333,0.331362,0.298028,0.26
1768313262,665446313,0.62347,0.689734,1.864255,0.260075,0.333981,0.26,0.314528,0.26,0.314392,0.26,0.314392,0,,,,,,,,,,1.209201,0.26,0.251333,0.331195,0.297861,0.26
1768313262,698783830,0.620978,0.699864,1.877532,0.260498,0.330666,0.26,0.314392,0.26,0.314184,0.26,0.314184,0,,,,,,,,,,1.208398,0.26,0.251333,0.331059,0.297726,0.26
1768313262,732207464,0.619669,0.704919,1.88412,0.260726,0.328983,0.26,0.314184,0.26,0.3141,0.26,0.3141,0,,,,,,,,,,1.208075,0.26,0.251333,0.33085,0.297517,0.26
1768313262,765513262,0.616931,0.71501,1.897194,0.261141,0.325542,0.26,0.3141,0.26,0.302999,0.26,0.302999,0,,,,,,,,,,1.165382,0.26,0.251333,0.330766,0.297433,0.26
1768313262,798778766,0.615502,0.720045,1.903679,0.261375,0.323806,0.26,0.302999,0.26,0.302877,0.26,0.302877,0,,,,,,,,,,1.164912,0.26,0.251333,0.319666,0.286333,0.26
1768313262,832361839,0.612527,0.730094,1.916543,0.261839,0.320285,0.26,0.302877,0.26,0.302675,0.26,0.302675,0,,,,,,,,,,1.164135,0.26,0.251333,0.319544,0.286211,0.26
1768313262,865471101,0.610988,0.735095,1.922916,0.260686,0.317927,0.26,0.302675,0.26,0.302592,0.26,0.302592,0,,,,,,,,,,1.163815,0.26,0.251333,0.319342,0.286008,0.26
1768313262,898805254,0.609416,0.740074,1.929247,0.260796,0.316084,0.26,0.302592,0.26,0.302519,0.26,0.302519,0,,,,,,,,,,1.163536,0.26,0.251333,0.319259,0.285925,0.26
1768313262,932452564,0.606161,0.750009,1.941799,0.261257,0.312455,0.26,0.302519,0.26,0.291592,0.26,0.291592,0,,,,,,,,,,1.121507,0.26,0.251333,0.319186,0.285853,0.26
1768313262,965831550,0.604478,0.754966,1.948021,0.261482,0.310619,0.26,0.291592,0.26,0.291483,0.26,0.291483,0,,,,,,,,,,1.12109,0.26,0.251333,0.308258,0.274925,0.26
1768313262,998953548,0.60101,0.764842,1.960348,0.260612,0.306384,0.26,0.291483,0.26,0.291308,0.26,0.291308,0,,,,,,,,,,1.120416,0.26,0.251333,0.30815,0.274817,0.26
1768313263,32259760,0.599231,0.769749,1.966447,0.260743,0.304479,0.26,0.291308,0.26,0.291238,0.26,0.291238,0,,,,,,,,,,1.120146,0.26,0.251333,0.307975,0.274642,0.26
1768313263,65689489,0.595567,0.779537,1.978532,0.261214,0.300717,0.26,0.291238,0.26,0.280536,0.26,0.280536,0,,,,,,,,,,1.078986,0.26,0.251333,0.307905,0.274571,0.26
1768313263,99088926,0.593683,0.784419,1.984518,0.261466,0.298826,0.26,0.280536,0.26,0.280433,0.26,0.280433,0,,,,,,,,,,1.078588,0.26,0.251333,0.297203,0.26387,0.26
1768313263,132353015,0.589812,0.794158,1.996376,0.26197,0.295014,0.26,0.280433,0.26,0.280273,0.26,0.280273,0,,,,,,,,,,1.077974,0.26,0.251333,0.297099,0.263766,0.26
1768313263,165726454,0.587837,0.798995,2.002239,0.260755,0.292533,0.26,0.280273,0.26,0.280212,0.26,0.280212,0,,,,,,,,,,1.077738,0.26,0.251333,0.29694,0.263607,0.26
1768313263,198998292,0.58379,0.808631,2.013843,0.261254,0.288667,0.26,0.280212,0.26,0.269737,0.26,0.269737,0,,,,,,,,,,1.037448,0.26,0.251333,0.296879,0.263545,0.26
1768313263,232245173,0.581718,0.813436,2.019588,0.261516,0.286725,0.26,0.269737,0.26,0.269643,0.26,0.269643,0,,,,,,,,,,1.037087,0.26,0.251333,0.286403,0.25307,0.26
1768313263,265642621,0.577494,0.822986,2.030945,0.260604,0.28228,0.26,0.269643,0.26,0.269494,0.26,0.269494,0,,,,,,,,,,1.036516,0.26,0.251333,0.286309,0.252976,0.26
1768313263,298907168,0.575338,0.82774,2.036561,0.260869,0.280315,0.26,0.269494,0.26,0.269443,0.26,0.269443,0,,,,,,,,,,1.036318,0.26,0.251333,0.286161,0.252827,0.26
1768313263,332225008,0.570932,0.83722,2.047674,0.26139,0.276356,0.26,0.269443,0.26,0.259196,0.26,0.259196,0,,,,,,,,,,0.996907,0.26,0.251333,0.286109,0.252776,0.26
1768313263,365751314,0.568682,0.841947,2.053172,0.261631,0.274358,0.26,0.259196,0.26,0.259116,0.26,0.259116,0,,,,,,,,,,0.996599,0.26,0.251333,0.275862,0.242529,0.26
1768313263,398859497,0.564098,0.85136,2.064041,0.260803,0.269866,0.26,0.259116,0.26,0.259004,0.26,0.259004,0,,,,,,,,,,0.996168,0.26,0.251333,0.275782,0.242449,0.26
1768313263,432196420,0.561771,0.856036,2.069408,0.26104,0.267846,0.26,0.259004,0.26,0.258969,0.26,0.258969,0,,,,,,,,,,0.996035,0.26,0.251333,0.27567,0.242337,0.26
1768313263,465656110,0.557028,0.865358,2.08002,0.261559,0.263801,0.26,0.258969,0.26,0.248951,0.26,0.248951,0,,,,,,,,,,0.957505,0.26,0.251333,0.275636,0.242302,0.26
1768313263,498838036,0.554612,0.870006,2.085266,0.261832,0.261772,0.26,0.248951,0.26,0.24889,0.26,0.24889,0,,,,,,,,,,0.957269,0.26,0.251333,0.265618,0.232285,0.26
1768313263,533150836,0.552167,0.874645,2.090471,0.262102,0.259736,0.26,0.24889,0.26,0.248847,0.26,0.248847,0,,,,,,,,,,0.957103,0.26,0.251333,0.265557,0.232223,0.26
1768313263,565593609,0.547203,0.883874,2.100757,0.261236,0.255442,0.26,0.248847,0.26,0.248807,0.26,0.248807,0,,,,,,,,,,0.95695,0.26,0.251333,0.265513,0.23218,0.26
1768313263,598875958,0.544687,0.888461,2.105835,0.261513,0.25339,0.26,0.248807,0.26,0.24881,0.26,0.24881,0,,,,,,,,,,0.956962,0.26,0.251333,0.265474,0.23214,0.26
1768313263,632433207,0.539572,0.897606,2.115867,0.262063,0.249267,0.26,0.24881,0.26,0.238974,0.26,0.238974,0,,,,,,,,,,0.919133,0.26,0.251333,0.265477,0.232144,0.26
1768313263,665653773,0.536974,0.902163,2.120823,0.262138,0.247305,0.26,0.238974,0.26,0.238952,0.26,0.238952,0,,,,,,,,,,0.919045,0.26,0.251333,0.255641,0.222308,0.26
1768313263,698804041,0.531713,0.911222,2.130624,0.26152,0.243554,0.26,0.238952,0.26,0.238945,0.26,0.238945,0,,,,,,,,,,0.919018,0.26,0.251333,0.255618,0.222285,0.26
1768313263,732230754,0.529048,0.915728,2.135463,0.261704,0.241436,0.26,0.238945,0.26,0.238966,0.26,0.238966,0,,,,,,,,,,0.919099,0.26,0.251333,0.255611,0.222278,0.26
1768313263,765699963,0.523642,0.92471,2.145017,0.262032,0.237363,0.26,0.238966,0.26,0.229345,0.26,0.229345,0,,,,,,,,,,0.882098,0.26,0.251333,0.255632,0.222299,0.26
1768313263,798777024,0.520906,0.929177,2.149737,0.261753,0.235536,0.26,0.229345,0.26,0.229336,0.26,0.229336,0,,,,,,,,,,0.882063,0.26,0.251333,0.246012,0.212679,0.26
1768313263,832658629,0.515375,0.938055,2.159066,0.261186,0.231853,0.26,0.229336,0.26,0.229358,0.26,0.229358,0,,,,,,,,,,0.882145,0.26,0.251333,0.246003,0.21267,0.26
1768313263,865508829,0.51258,0.942467,2.163675,0.261075,0.229932,0.26,0.229358,0.26,0.22939,0.26,0.22939,0,,,,,,,,,,0.882267,0.26,0.251333,0.246024,0.212691,0.26
1768313263,899049412,0.506917,0.951264,2.172768,0.261633,0.225773,0.26,0.22939,0.26,0.219968,0.26,0.219968,0,,,,,,,,,,0.846031,0.26,0.251333,0.246056,0.212723,0.26
1768313263,932913977,0.504054,0.955641,2.177255,0.261347,0.223893,0.26,0.219968,0.26,0.219973,0.26,0.219973,0,,,,,,,,,,0.846052,0.26,0.251333,0.236635,0.203301,0.26
1768313263,965682188,0.498267,0.96435,2.186111,0.261553,0.219821,0.26,0.219973,0.26,0.220034,0.26,0.220034,0,,,,,,,,,,0.846283,0.26,0.251333,0.23664,0.203307,0.26
1768313263,998889914,0.495339,0.968691,2.190476,0.261751,0.217738,0.26,0.220034,0.26,0.220094,0.26,0.220094,0,,,,,,,,,,0.846516,0.26,0.251333,0.2367,0.203367,0.26
1768313264,32393992,0.492392,0.973015,2.194802,0.26146,0.21583,0.26,0.220094,0.26,0.210876,0.26,0.210876,0,,,,,,,,,,0.811061,0.26,0.251333,0.236761,0.203427,0.26
1768313264,65736975,0.48645,0.981606,2.203339,0.260856,0.211996,0.26,0.210876,0.26,0.210911,0.26,0.210911,0,,,,,,,,,,0.811195,0.26,0.251333,0.227543,0.194209,0.26
1768313264,98994241,0.483455,0.985874,2.20755,0.260561,0.210066,0.26,0.210911,0.26,0.21095,0.26,0.21095,0,,,,,,,,,,0.811345,0.26,0.251333,0.227577,0.194244,0.26
1768313264,132487086,0.477406,0.994374,2.215848,0.260962,0.205823,0.26,0.21095,0.26,0.211084,0.26,0.211084,0,,,,,,,,,,0.811863,0.26,0.251333,0.227616,0.194283,0.26
1768313264,165412057,0.47435,0.998607,2.219934,0.260912,0.203783,0.26,0.211084,0.26,0.202054,0.26,0.202054,0,,,,,,,,,,0.777132,0.26,0.251333,0.227751,0.194418,0.26
1768313264,198952062,0.468195,1.007019,2.227987,0.260294,0.199871,0.26,0.202054,0.26,0.202135,0.26,0.202135,0,,,,,,,,,,0.777443,0.26,0.251333,0.218721,0.185388,0.26
1768313264,232103928,0.465095,1.011198,2.231957,0.260018,0.198066,0.26,0.202135,0.26,0.202198,0.26,0.202198,0,,,,,,,,,,0.777684,0.26,0.251333,0.218802,0.185468,0.26
1768313264,265652845,0.45884,1.019518,2.239818,0.260107,0.197158,0.26,0.202198,0.26,0.20236,0.26,0.20236,0,,,,,,,,,,0.778308,0.26,0.251333,0.218865,0.185531,0.26
