sec,nsec,x,y,yaw,map_x,map_y,map_yaw,map_pose_valid,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1772473156,411664313,-0.579193,-1.840401,2.552122,0.165875,-0.656071,-1.896387,1,0.000000,0.000000,0.110374,-0.600000,0.112202,-0.600000,0.112202,-0.600000,0,-5.347512,0.117707,0.103041,-0.580000,-0.600000,0.220000
1772473156,436715927,-0.581567,-1.838280,2.536784,0.164248,-0.658856,-1.911630,1,0.000000,0.000000,0.112202,-0.600000,0.113375,-0.600000,0.113375,-0.600000,0,-5.292152,0.119535,0.104868,-0.580000,-0.600000,0.220000
1772473156,461728414,-0.584166,-1.837469,2.521738,0.161502,-0.660773,-1.925413,1,0.000000,0.000000,0.113375,-0.600000,0.115304,-0.600000,0.115304,-0.600000,0,-5.203648,0.120709,0.106042,-0.580000,-0.600000,0.220000
1772473156,511784578,-0.587808,-1.834901,2.491902,0.159978,-0.664960,-1.955250,1,0.000000,0.000000,0.115304,-0.600000,0.118054,-0.600000,0.118054,-0.600000,0,-5.082426,0.122637,0.107970,-0.580000,-0.600000,0.220000
1772473156,536811970,-0.589967,-1.832902,2.477186,0.158614,-0.667393,-1.970115,1,0.000000,0.000000,0.118054,-0.600000,0.119468,-0.600000,0.119468,-0.600000,0,-5.022261,0.125387,0.110721,-0.580000,-0.600000,0.220000
1772473156,561884222,-0.592671,-1.830703,2.462107,0.157169,-0.668149,-1.987257,1,0.000000,0.000000,0.119468,-0.600000,0.122663,-0.600000,0.122663,-0.600000,0,-4.891435,0.126801,0.112135,-0.580000,-0.600000,0.220000
1772473156,611959793,-0.598239,-1.827525,2.430981,0.155548,-0.674351,-2.018382,1,0.000000,0.000000,0.122663,-0.600000,0.124521,-0.600000,0.124521,-0.600000,0,-4.818467,0.129997,0.115330,-0.580000,-0.600000,0.220000
1772473156,636983324,-0.600587,-1.825767,2.416024,0.154758,-0.677091,-2.033162,1,0.000000,0.000000,0.124521,-0.600000,0.125607,-0.600000,0.125607,-0.600000,0,-4.776819,0.131854,0.117188,-0.580000,-0.600000,0.220000
1772473156,662023647,-0.603983,-1.823958,2.400782,0.158025,-0.681054,-2.045932,1,0.000000,0.000000,0.125607,-0.600000,0.123587,-0.600000,0.123587,-0.600000,0,-4.854889,0.132940,0.118273,-0.580000,-0.600000,0.220000
1772473156,712155881,-0.607603,-1.819399,2.370915,0.154576,-0.685744,-2.075798,1,0.000000,0.000000,0.123587,-0.600000,0.127279,-0.600000,0.127279,-0.600000,0,-4.714045,0.130920,0.116253,-0.580000,-0.600000,0.220000
1772473156,737191571,-0.609802,-1.817290,2.355972,0.153089,-0.688455,-2.090809,1,0.000000,0.000000,0.127279,-0.600000,0.128810,-0.600000,0.128810,-0.600000,0,-4.658025,0.134613,0.119946,-0.580000,-0.600000,0.220000
1772473156,762205269,-0.612066,-1.813973,2.340769,0.150063,-0.691989,-2.106934,1,0.000000,0.000000,0.128810,-0.600000,0.130612,-0.600000,0.130612,-0.600000,0,-4.593762,0.136143,0.121477,-0.580000,-0.600000,0.220000
1772473156,812347677,-0.616904,-1.809813,2.310274,0.147314,-0.697746,-2.137430,1,0.000000,0.000000,0.130612,-0.600000,0.133580,-0.600000,0.133580,-0.600000,0,-4.491697,0.137945,0.123279,-0.580000,-0.600000,0.220000
1772473156,837371652,-0.618145,-1.808014,2.295354,0.145716,-0.699464,-2.152176,1,0.000000,0.000000,0.133580,-0.600000,0.136258,-0.600000,0.136258,-0.600000,0,-4.403416,0.140913,0.126246,-0.580000,-0.600000,0.220000
1772473156,862423090,-0.619637,-1.806014,2.280964,0.141719,-0.702095,-2.164284,1,0.000000,0.000000,0.136258,-0.600000,0.138714,-0.600000,0.138714,-0.600000,0,-4.325455,0.143591,0.128925,-0.580000,-0.600000,0.220000
1772473156,912519665,-0.624118,-1.800289,2.251580,0.137379,-0.707928,-2.193667,1,0.000000,0.000000,0.138714,-0.600000,0.142623,-0.600000,0.142623,-0.600000,0,-4.206888,0.146047,0.131380,-0.580000,-0.600000,0.220000
1772473156,937628254,-0.625912,-1.797936,2.236599,0.135675,-0.710454,-2.208393,1,0.000000,0.000000,0.142623,-0.600000,0.144851,-0.600000,0.144851,-0.600000,0,-4.142181,0.149957,0.135290,-0.580000,-0.600000,0.220000
1772473156,962525514,-0.628057,-1.795669,2.220519,0.135288,-0.715476,-2.221021,1,0.000000,0.000000,0.144851,-0.600000,0.142920,-0.600000,0.142920,-0.600000,0,-4.198164,0.152185,0.137518,-0.580000,-0.600000,0.220000
1772473157,12652406,-0.632269,-1.789818,2.190036,0.130778,-0.721100,-2.251504,1,0.000000,0.000000,0.142920,-0.600000,0.147755,-0.600000,0.147755,-0.600000,0,-4.060785,0.150253,0.135586,-0.580000,-0.600000,0.220000
1772473157,37721513,-0.634351,-1.786001,2.175148,0.127726,-0.724437,-2.266474,1,0.000000,0.000000,0.147755,-0.600000,0.150066,-0.600000,0.150066,-0.600000,0,-3.998231,0.155088,0.140421,-0.580000,-0.600000,0.220000
1772473157,62704075,-0.637302,-1.783529,2.159432,0.127035,-0.732021,-2.283266,1,0.000000,0.000000,0.150066,-0.600000,0.146306,-0.600000,0.146306,-0.600000,0,-4.100985,0.157400,0.142733,-0.580000,-0.600000,0.220000
1772473157,112869388,-0.640909,-1.776595,2.129617,0.121313,-0.737345,-2.313081,1,0.000000,0.000000,0.146306,-0.600000,0.152310,-0.600000,0.152310,-0.600000,0,-3.939337,0.153640,0.138973,-0.580000,-0.600000,0.220000
1772473157,137865639,-0.643224,-1.776575,2.115081,0.121889,-0.739882,-2.327526,1,0.000000,0.000000,0.152310,-0.600000,0.153241,-0.600000,0.153241,-0.600000,0,-3.915406,0.159643,0.144977,-0.580000,-0.600000,0.220000
1772473157,162903054,-0.645878,-1.771745,2.100156,0.117657,-0.747795,-2.341217,1,0.000000,0.000000,0.153241,-0.600000,0.150095,-0.600000,0.150095,-0.600000,0,-3.997471,0.160574,0.145907,-0.580000,-0.600000,0.220000
1772473157,213035661,-0.648602,-1.763951,2.070659,0.110876,-0.752505,-2.370715,1,0.000000,0.000000,0.150095,-0.600000,0.157428,-0.598282,0.157428,-0.598282,0,-3.800348,0.157428,0.142762,-0.580000,-0.600000,0.220000
1772473157,238041520,-0.650925,-1.760909,2.054866,0.108744,-0.755962,-2.386477,1,0.000000,0.000000,0.157428,-0.598282,0.159935,-0.600000,0.159935,-0.600000,0,-3.751523,0.164762,0.150095,-0.578282,-0.600000,0.220000
1772473157,263079215,-0.651949,-1.758626,2.039681,0.109208,-0.763009,-2.401239,1,0.000000,0.000000,0.159935,-0.600000,0.154761,-0.600000,0.154761,-0.600000,0,-3.876943,0.167268,0.152602,-0.580000,-0.600000,0.220000
1772473157,313285655,-0.655120,-1.751959,2.009442,0.103636,-0.767851,-2.431478,1,0.000000,0.000000,0.154761,-0.600000,0.162094,-0.599507,0.162094,-0.599507,0,-3.698506,0.162094,0.147428,-0.580000,-0.600000,0.220000
1772473157,338221119,-0.658032,-1.748315,1.993495,0.100897,-0.771777,-2.447838,1,0.000000,0.000000,0.162094,-0.599507,0.164330,-0.600000,0.164330,-0.600000,0,-3.651183,0.169428,0.154761,-0.579507,-0.600000,0.220000
1772473157,363258310,-0.658768,-1.743217,1.978796,0.096032,-0.775765,-2.468171,1,0.000000,0.000000,0.164330,-0.600000,0.169644,-0.600000,0.169644,-0.600000,0,-3.536815,0.171664,0.156997,-0.580000,-0.600000,0.220000
1772473157,413324209,-0.663225,-1.734817,1.948126,0.089095,-0.782269,-2.498840,1,0.000000,0.000000,0.169644,-0.600000,0.176978,-0.599562,0.176978,-0.599562,0,-3.387786,0.176978,0.162311,-0.580000,-0.600000,0.220000
1772473157,438411253,-0.664072,-1.732226,1.933457,0.086453,-0.783886,-2.513597,1,0.000000,0.000000,0.176978,-0.599562,0.183230,-0.600000,0.183230,-0.600000,0,-3.274577,0.184311,0.169644,-0.579562,-0.600000,0.220000
1772473157,463346981,-0.666125,-1.728359,1.918780,0.078247,-0.788526,-2.529475,1,0.000000,0.000000,0.183230,-0.600000,0.189704,-0.600000,0.189704,-0.600000,0,-3.162827,0.190563,0.175896,-0.580000,-0.600000,0.220000
1772473157,513507249,-0.669262,-1.719188,1.888141,0.070213,-0.793948,-2.560114,1,0.000000,0.000000,0.189704,-0.600000,0.197037,-0.582359,0.197037,-0.582359,0,-2.955581,0.197037,0.182370,-0.580000,-0.600000,0.220000
1772473157,538525245,-0.670493,-1.715346,1.873987,0.066668,-0.796336,-2.574246,1,0.000000,0.000000,0.197037,-0.582359,0.204370,-0.584145,0.204370,-0.584145,0,-2.858267,0.204370,0.189704,-0.562359,-0.600000,0.220000
1772473157,563575826,-0.672716,-1.709944,1.859180,0.059884,-0.802579,-2.588759,1,0.000000,0.000000,0.204370,-0.584145,0.211205,-0.600000,0.211205,-0.600000,0,-2.840836,0.211704,0.197037,-0.564145,-0.600000,0.220000
1772473157,613662360,-0.676422,-1.701162,1.830176,0.052377,-0.808451,-2.617764,1,0.000000,0.000000,0.211205,-0.600000,0.218539,-0.584033,0.218539,-0.584033,0,-2.672447,0.218539,0.203872,-0.580000,-0.600000,0.220000
1772473157,638728723,-0.677809,-1.695958,1.815414,0.047560,-0.811308,-2.632391,1,0.000000,0.000000,0.218539,-0.584033,0.220000,-0.564428,0.220000,-0.564428,0,-2.565580,0.220000,0.211205,-0.564033,-0.600000,0.220000
1772473157,663759983,-0.679127,-1.691257,1.800528,0.041287,-0.815911,-2.645473,1,0.000000,0.000000,0.220000,-0.564428,0.220000,-0.552403,0.220000,-0.552403,0,-2.510920,0.220000,0.212667,-0.544428,-0.584428,0.220000
1772473157,713870578,-0.681126,-1.680820,1.771758,0.031744,-0.820587,-2.674243,1,0.000000,0.000000,0.220000,-0.552403,0.220000,-0.532403,0.220000,-0.532403,0,-2.264283,0.220000,0.212667,-0.532403,-0.572403,0.220000
1772473157,738907632,-0.683373,-1.674443,1.757886,0.026114,-0.824592,-2.688223,1,0.000000,0.000000,0.220000,-0.532403,0.220000,-0.512403,0.220000,-0.512403,0,-2.191061,0.220000,0.212667,-0.512403,-0.552403,0.220000
1772473157,764041086,-0.683665,-1.669032,1.744307,0.020023,-0.828435,-2.703268,1,0.000000,0.000000,0.220000,-0.512403,0.220000,-0.492403,0.220000,-0.492403,0,-2.094462,0.220000,0.212667,-0.492403,-0.532403,0.220000
1772473157,814136280,-0.686004,-1.658583,1.717580,0.010551,-0.833427,-2.729996,1,0.000000,0.000000,0.220000,-0.492403,0.220000,-0.472403,0.220000,-0.472403,0,-1.877773,0.220000,0.212667,-0.472403,-0.512403,0.220000
1772473157,839166019,-0.687158,-1.652897,1.704756,0.004951,-0.835981,-2.742778,1,0.000000,0.000000,0.220000,-0.472403,0.220000,-0.452403,0.220000,-0.452403,0,-1.761353,0.220000,0.212667,-0.452403,-0.492403,0.220000
1772473157,864173297,-0.688917,-1.648067,1.692534,-0.004614,-0.838324,-2.754469,1,0.000000,0.000000,0.220000,-0.452403,0.220000,-0.432403,0.220000,-0.432403,0,-1.576613,0.220000,0.212667,-0.432403,-0.472403,0.220000
1772473157,914314509,-0.690116,-1.637109,1.669929,-0.014873,-0.842355,-2.777074,1,0.000000,0.000000,0.220000,-0.432403,0.220000,-0.412403,0.220000,-0.412403,0,-1.345583,0.220000,0.212667,-0.412403,-0.452403,0.220000
1772473157,939325179,-0.690921,-1.631538,1.658909,-0.019969,-0.844331,-2.788041,1,0.000000,0.000000,0.220000,-0.412403,0.220000,-0.392403,0.220000,-0.392403,0,-1.232059,0.220000,0.212667,-0.392403,-0.432403,0.220000
1772473157,964471153,-0.692336,-1.626487,1.647285,-0.023513,-0.843432,-2.798936,1,0.000000,0.000000,0.220000,-0.392403,0.220000,-0.372403,0.220000,-0.372403,0,-1.037167,0.220000,0.212667,-0.372403,-0.412403,0.220000
1772473158,14559980,-0.691957,-1.614712,1.626917,-0.034973,-0.846163,-2.819303,1,0.000000,0.000000,0.220000,-0.372403,0.220000,-0.352403,0.220000,-0.352403,0,-0.755080,0.220000,0.212667,-0.352403,-0.392403,0.220000
1772473158,39704487,-0.692714,-1.609918,1.617711,-0.039611,-0.848110,-2.828367,1,0.000000,0.000000,0.220000,-0.352403,0.220000,-0.332403,0.220000,-0.332403,0,-0.665512,0.220000,0.212667,-0.332403,-0.372403,0.220000
1772473158,64692398,-0.693005,-1.603712,1.609136,-0.047975,-0.849513,-2.835284,1,0.000000,0.000000,0.220000,-0.332403,0.220000,-0.312403,0.220000,-0.312403,0,-0.509319,0.220000,0.212667,-0.312403,-0.352403,0.220000
1772473158,114891668,-0.693442,-1.593720,1.591854,-0.057494,-0.852580,-2.852566,1,0.000000,0.000000,0.220000,-0.312403,0.220000,-0.292403,0.220000,-0.292403,0,-0.302607,0.220000,0.212667,-0.292403,-0.332403,0.220000
1772473158,139888371,-0.693414,-1.587248,1.583390,-0.063980,-0.854031,-2.861056,1,0.000000,0.000000,0.220000,-0.292403,0.220000,-0.272403,0.220000,-0.272403,0,-0.167421,0.220000,0.212667,-0.272403,-0.312403,0.220000
1772473158,164910374,-0.693415,-1.581711,1.576039,-0.072031,-0.852808,-2.868707,1,0.000000,0.000000,0.220000,-0.272403,0.220000,-0.252403,0.220000,-0.252403,0,0.088863,0.220000,0.212667,-0.252403,-0.292403,0.220000
1772473158,215061637,-0.693964,-1.570224,1.561959,-0.082963,-0.856376,-2.882786,1,0.000000,0.000000,0.220000,-0.252403,0.212667,-0.232403,0.212667,-0.232403,0,0.271006,0.220000,0.212667,-0.232403,-0.272403,0.220000
1772473158,240129466,-0.694112,-1.564862,1.554946,-0.088175,-0.858013,-2.889585,1,0.000000,0.000000,0.212667,-0.232403,0.205333,-0.212403,0.205333,-0.212403,0,0.360813,0.220000,0.205333,-0.212403,-0.252403,0.220000
1772473158,265270505,-0.693936,-1.558267,1.549063,-0.095459,-0.860452,-2.893113,1,0.000000,0.000000,0.205333,-0.212403,0.198000,-0.192403,0.198000,-0.192403,0,0.426174,0.212667,0.198000,-0.192403,-0.232403,0.220000
1772473158,315359140,-0.693348,-1.548650,1.535924,-0.104884,-0.862452,-2.906252,1,0.000000,0.000000,0.198000,-0.192403,0.190667,-0.172403,0.190667,-0.172403,0,0.631944,0.205333,0.190667,-0.172403,-0.212403,0.220000
1772473158,340399645,-0.692938,-1.542600,1.531193,-0.111168,-0.863430,-2.910579,1,0.000000,0.000000,0.190667,-0.172403,0.183333,-0.152403,0.183333,-0.152403,0,0.741960,0.198000,0.183333,-0.152403,-0.192403,0.220000
1772473158,365573280,-0.692817,-1.537266,1.527332,-0.119964,-0.862224,-2.910195,1,0.000000,0.000000,0.183333,-0.152403,0.176000,-0.132403,0.176000,-0.132403,0,0.934136,0.190667,0.176000,-0.132403,-0.172403,0.220000
1772473158,415743255,-0.692577,-1.528196,1.518971,-0.128759,-0.864455,-2.918556,1,0.000000,0.000000,0.176000,-0.132403,0.168667,-0.112403,0.168667,-0.112403,0,1.075462,0.183333,0.168667,-0.112403,-0.152403,0.220000
1772473158,440815395,-0.692567,-1.523595,1.515174,-0.133376,-0.865765,-2.922458,1,0.000000,0.000000,0.168667,-0.112403,0.161333,-0.092403,0.161333,-0.092403,0,1.139892,0.176000,0.161333,-0.092403,-0.132403,0.220000
1772473158,465920953,-0.691734,-1.521087,1.512390,-0.137758,-0.866302,-2.926225,1,0.000000,0.000000,0.161333,-0.092403,0.154000,-0.072403,0.154000,-0.072403,0,1.227838,0.168667,0.154000,-0.072403,-0.112403,0.220000
1772473158,516174555,-0.692024,-1.512577,1.508190,-0.145872,-0.868882,-2.930424,1,0.000000,0.000000,0.154000,-0.072403,0.146667,-0.052403,0.146667,-0.052403,0,1.306196,0.161333,0.146667,-0.052403,-0.092403,0.220000
1772473158,541068025,-0.692388,-1.507756,1.506553,-0.150434,-0.870417,-2.932015,1,0.000000,0.000000,0.146667,-0.052403,0.139333,-0.032403,0.139333,-0.032403,0,1.340023,0.154000,0.139333,-0.032403,-0.072403,0.220000
1772473158,566282529,-0.692045,-1.504472,1.504825,-0.153853,-0.869919,-2.933324,1,0.000000,0.000000,0.139333,-0.032403,0.132000,-0.012403,0.132000,-0.012403,0,1.427858,0.146667,0.132000,-0.012403,-0.052403,0.220000
