sec,nsec,x,y,yaw,v_real,w_real,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz
1765756016.221675,221674649,0.8927049816371034,0.059576478109028164,0.3306368104912218,0.510125145316124,0.24042825304692791,0.5,0.2836510460741757,0.5,0.28870603446155746,False,25.200000762939453,-0.35499998927116394,0.9100000262260437,1.350329736328125,0.0047884033203125,9.8449572265625,-0.03195793308095086,-0.0541953281831125,0.27590348893220906
1765756016.2848935,284893370,0.9073187685279803,0.06425628878250922,0.3453267482574894,0.5035006254911423,0.3205635735104161,0.5,0.27976774959646605,0.5,0.27979177790928444,False,25.200000762939453,-0.3630000054836273,0.9100000262260437,0.7996633544921875,0.2753331909179687,9.157821350097656,0.04127899689622819,0.01691107292200316,0.24913871997691273
1765756016.3647497,364749638,0.9487354295926373,0.07914473044263298,0.3861910210426595,0.5101243555545807,0.2938486155002348,0.5,0.26976327353366314,0.5,0.2782486139443834,False,25.200000762939453,-0.3630000054836273,0.9100000262260437,0.7685387329101562,0.14125789794921875,9.370905297851563,0.024634240083232953,-0.03382214584400632,0.25566346464760686
1765756016.470243,470242928,0.9710534714958834,0.08843160296511948,0.40523830745543066,0.503499835729599,0.32056038898806416,0.5,0.2768010501009333,0.5,0.27844259031490654,False,25.200000762939453,-0.3630000054836273,0.9100000262260437,2.013523596191406,0.1005564697265625,9.809044201660155,0.040213732460196494,0.001731054708551505,0.24594292666881765
1765756016.5487084,548708346,1.015810156640949,0.10860120196916626,0.4417318279763572,0.5101243555545807,0.2938486155002348,0.5,0.2585522400288629,0.5,0.26402927813928384,False,25.200000762939453,-0.35499998927116394,0.9100000262260437,1.5969325073242187,0.22744915771484372,9.471461767578125,0.019307917903074477,-0.04261057744126781,0.2737729600601457
1765756016.5645514,564551164,1.041951510372779,0.12125464860901798,0.46240952250139616,0.4968753159046173,0.240425068524576,0.5,0.23616769358967798,0.5,0.24530936510395798,False,25.200000762939453,-0.35499998927116394,0.9100000262260437,0.9576806640625,0.699106884765625,9.006986645507812,0.059388492308767006,0.07590009106725829,0.22796658931078279
1765756016.5914888,591488849,1.0507060053574826,0.12564020773582507,0.46830956332744533,0.503499835729599,0.2137132950367466,0.5,0.22958267401970683,0.5,0.24530936510395798,False,25.200000762939453,-0.35499998927116394,0.9100000262260437,0.9864110839843749,-0.3950432739257812,9.062053283691405,-0.01251685712337242,-0.04767058351241837,0.25260082939401574
1765756016.631163,631162934,1.0507060053574826,0.12564020773582507,0.46830956332744533,0.5101243555545807,0.2938486155002348,0.5,0.22958267401970683,0.5,0.22958267401970683,False,25.200000762939453,-0.35499998927116394,0.9100000262260437,0.5363011718749999,0.4836287353515625,9.969455712890625,0.036618464988589526,-0.01890844373956259,0.25979136433722966
1765756016.7950883,795088002,1.0507060053574826,0.12564020773582507,0.46830956332744533,0.5047275463390966,0.27208728801844395,0.5,0.21090174670304607,0.5,0.22958267401970683,False,25.200000762939453,-0.35499998927116394,0.9100000262260437,0.699106884765625,0.8475473876953125,9.555258825683593,0.1006674892049952,-0.07563377495825035,0.2339587017634611
1765756016.8418436,841843549,1.1844869881361766,0.1948851858157148,0.562610269235934,0.503499835729599,0.2671368420124054,0.5,0.19955784344583682,0.5,0.19689034176542705,False,25.200000762939453,-0.40799999237060547,0.9100000262260437,0.8475473876953125,0.43574470214843747,9.440337145996093,0.10253170196805067,0.02330265953819333,0.20106866230098247
