sec,nsec,x,y,yaw,v_cmd,w_cmd,battery_v,battery_i,battery_percent,v_real,w_real,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,v_nav,w_nav,velocity_violation
1765740508.6387467,638746624.0,0.9064372018066749,0.2497674631369966,1.795185239548619,0.25,0.5697921239186475,25.200000762939453,-0.5889999866485596,nan,0.2451253980398178,0.6144185580553547,1.3838485595703125,0.30406361083984373,9.449913952636718,0.061652179235334365,-0.025566346464760685,0.6036054610664594,0.25,0.5763551011465731,False
1765740508.6475725,647572480.0,0.9064372018066749,0.2497674631369966,1.795185239548619,0.25,0.555752724077147,25.200000762939453,-0.5889999866485596,nan,0.25837522745132446,0.6144153735330028,1.419761584472656,0.21787235107421873,9.198522778320312,0.08082693908390487,0.004527373853134705,0.5816343820733056,0.25,0.5763551011465731,False
1765740508.678938,678937856.0,0.9035500782875321,0.24528093575439058,1.792353359265121,0.25488320289102984,0.5555555555555556,25.200000762939453,-0.5889999866485596,nan,0.2517499178647995,0.5877004155228215,1.388636962890625,0.5410895751953124,9.81862100830078,0.04554005464035497,-0.061519021180830406,0.5572664580990806,0.25,0.555752724077147,False
1765740508.720028,720027904.0,0.8984168487050077,0.2637900936763735,1.8636743141203942,0.24291124251130433,0.5888888888888889,25.200000762939453,-0.5889999866485596,nan,0.2517499178647995,0.5877004155228215,1.0797849487304687,0.41419688720703124,9.612719665527344,0.013582121559404116,-0.031158984753927088,0.5474127620657874,0.24291124251130433,0.5888888888888889,False
1765740508.7447839,744783872.0,0.8984168487050077,0.2637900936763735,1.8636743141203942,0.25,0.5962223651648109,25.200000762939453,-0.5889999866485596,nan,0.23849929869174957,0.5342768685471627,1.4053963745117186,0.00239420166015625,9.526528405761718,0.028895297827359733,0.04247741938676385,0.5438174945941804,0.24291124251130433,0.5888888888888889,False
1765740508.805539,805538816.0,0.8966858281285504,0.2698244636684004,1.8931325422095941,0.25,0.582701506272294,25.200000762939453,-0.5109999775886536,nan,0.23187477886676788,0.5075650950593333,0.9624690673828125,0.3136404174804687,9.124302526855468,0.05193164125654514,0.013182647395892227,0.5395564368500536,0.25,0.5962223651648109,False
1765740508.811344,811343872.0,0.8944596531619071,0.2762705888832535,1.913141535385815,0.25,0.5722079034544307,25.200000762939453,-0.5109999775886536,nan,0.2517507076263428,0.5342736840248108,1.3287819213867187,0.21787235107421873,8.99501563720703,0.05965480841777493,0.016245282649483352,0.521180625328507,0.25,0.5722079034544307,False
1765740508.8462884,846288384.0,0.8891120931533303,0.2822710021421688,1.9429913320766738,0.25,0.5629532585099867,25.200000762939453,-0.5109999775886536,nan,0.25837601721286774,0.5609886420349921,0.603338818359375,0.7062894897460937,9.251195214843749,0.08309062601047223,0.029694246154383503,0.507065871551087,0.25,0.5722079034544307,False
1765740508.8788998,878899712.0,0.8753750369730859,0.2824708855144724,1.990492747093863,0.25,0.5567426929039812,25.200000762939453,-0.5109999775886536,nan,0.26499974727630615,0.5342736840248108,1.6400281372070311,0.28012159423828126,10.24718310546875,0.06311691783487795,-0.04926848016646591,0.4925516436101551,0.25,0.5629532585099867,False
1765740508.9460862,946086144.0,0.9172110624106731,0.3148883665454756,2.0395166803516496,0.25565267787780777,0.5555555555555556,25.200000762939453,-0.5109999775886536,nan,0.2517499178647995,0.4808469525268001,1.2114660400390624,0.3950432739257812,9.260772021484375,0.05299690569257683,-0.049002164057457984,0.5143895645488049,0.25565267787780777,0.5555555555555556,False
1765740508.9816923,981692160.0,0.9138026871102021,0.32147913009402185,2.0566134251202124,0.2438195509320472,0.5888888888888889,25.200000762939453,-0.5109999775886536,nan,0.23850008845329285,0.48084376800444817,1.2952630981445312,0.5410895751953124,8.911218579101561,0.052064799311049105,-0.018375811521546742,0.509995348750174,0.2604862175987139,0.5555555555555556,False
